# 移除规则数: 1557（DoH NXDOMAIN 判定）

AI/Copilot.list	DOMAIN,gateway.bingviz.microsoft.net
Proxy/Others.list	DOMAIN-SUFFIX,avdby-up.buzz
Proxy/Others.list	DOMAIN-SUFFIX,avdudu.top
Proxy/Others.list	DOMAIN-SUFFIX,avdwang.xyz
Proxy/Others.list	DOMAIN-SUFFIX,avjzy67.xyz
Proxy/Others.list	DOMAIN-SUFFIX,avking-mp4.sbs
Proxy/Others.list	DOMAIN-SUFFIX,avrila.cc
Proxy/Others.list	DOMAIN-SUFFIX,avrila2.cc
Proxy/Others.list	DOMAIN-SUFFIX,avrila2023.top
Proxy/Others.list	DOMAIN-SUFFIX,avsee01.tv
Proxy/Others.list	DOMAIN-SUFFIX,avstar01.me
Proxy/Others.list	DOMAIN-SUFFIX,avstar02.me
Proxy/Others.list	DOMAIN-SUFFIX,avstar03.me
Proxy/Others.list	DOMAIN-SUFFIX,avstar04.me
Proxy/Others.list	DOMAIN-SUFFIX,avstar05.me
Proxy/Others.list	DOMAIN-SUFFIX,avstar06.me
Proxy/Others.list	DOMAIN-SUFFIX,avstar07.me
Proxy/Others.list	DOMAIN-SUFFIX,avstar09.me
Proxy/Others.list	DOMAIN-SUFFIX,avxlive.icu
Proxy/Others.list	DOMAIN-SUFFIX,awflapp.top
Proxy/Others.list	DOMAIN-SUFFIX,awwcn.xyz
Proxy/Others.list	DOMAIN-SUFFIX,ayshdade.info
Proxy/Others.list	DOMAIN-SUFFIX,ayshdee.xyz
Proxy/Others.list	DOMAIN-SUFFIX,b-ok.africa
Proxy/Others.list	DOMAIN-SUFFIX,badasianpussy.com
Proxy/Others.list	DOMAIN-SUFFIX,bai29.xyz
Proxy/Others.list	DOMAIN-SUFFIX,baicaonetwork.com
Proxy/Others.list	DOMAIN-SUFFIX,baisi.pro
Proxy/Others.list	DOMAIN-SUFFIX,baixing.me
Proxy/Others.list	DOMAIN-SUFFIX,baizhi.org
Proxy/Others.list	DOMAIN-SUFFIX,banan.tv
Proxy/Others.list	DOMAIN-SUFFIX,banatfun.com
Proxy/Others.list	DOMAIN-SUFFIX,banned.video
Proxy/Others.list	DOMAIN-SUFFIX,barium-enema.com
Proxy/Others.list	DOMAIN-SUFFIX,barss1207.pro
Proxy/Others.list	DOMAIN-SUFFIX,bbbaihu.vip
Proxy/Others.list	DOMAIN-SUFFIX,bbqm1.xyz
Proxy/Others.list	DOMAIN-SUFFIX,bbs.junglobal.net
Proxy/Others.list	DOMAIN-SUFFIX,bbs.naixi.net
Proxy/Others.list	DOMAIN-SUFFIX,bbw-yoyo.buzz
Proxy/Others.list	DOMAIN-SUFFIX,bbwyoyo.info
Proxy/Others.list	DOMAIN-SUFFIX,bbycontent.net
